,Дата,Горизонт,Температура,"прозрачность, м",Chl_a,,
239,1949-05-23 00:00:00,25,"3,5",,,,
240,1949-05-23 00:00:00,50,"3,5",,,,
241,1949-05-23 00:00:00,100,"3,45",,,,
242,1949-05-23 00:00:00,250,"3,5",,,,
243,1949-06-04 00:00:00,0,4,,,,
244,1949-06-04 00:00:00,10,"3,8",,,,
245,1949-06-04 00:00:00,25,"3,8",,,,
246,1949-06-04 00:00:00,50,"3,8",,,,
247,1949-06-04 00:00:00,100,"3,7",,,,
248,1949-06-04 00:00:00,250,"3,7",,,,
249,1949-06-14 00:00:00,0,"5,2",,,,
250,1949-06-14 00:00:00,100,"3,9",,,,
251,1949-06-14 00:00:00,250,"3,8",,,,
252,1949-06-25 00:00:00,0,"5,5",,,,
253,1949-06-25 00:00:00,10,"4,5",,,,
254,1949-06-25 00:00:00,25,"4,4",,,,
255,1949-06-25 00:00:00,50,"4,4",,,,
256,1949-06-25 00:00:00,100,"4,1",,,,
257,1949-06-25 00:00:00,250,"3,8",,,,
258,1949-07-05 00:00:00,0,"7,2",,,,
259,1949-07-05 00:00:00,10,"6,9",,,,
260,1949-07-05 00:00:00,25,"6,6",,,,
261,1949-07-05 00:00:00,50,"6,5",,,,
262,1949-07-05 00:00:00,100,6,,,,
263,1949-07-05 00:00:00,250,"3,7",,,,
264,1949-07-16 00:00:00,0,"10,6",,,,
265,1949-07-16 00:00:00,10,"6,5",,,,
266,1949-07-16 00:00:00,25,"5,8",,,,
267,1949-07-16 00:00:00,50,"4,8",,,,
268,1949-07-16 00:00:00,100,"4,25",,,,
269,1949-07-16 00:00:00,250,"3,8",,,,
270,1949-07-19 00:00:00,0,"7,2",,,,
271,1949-07-19 00:00:00,50,"4,25",,,,
272,1949-07-19 00:00:00,250,"3,7",,,,
273,1949-07-27 00:00:00,0,"10,9",,,,
274,1949-07-27 00:00:00,10,"9,3",,,,
275,1949-07-27 00:00:00,25,"7,4",,,,
276,1949-07-27 00:00:00,50,"8,8",,,,
277,1949-07-27 00:00:00,100,"4,15",,,,
278,1949-07-27 00:00:00,250,"3,8",,,,
279,1949-08-06 00:00:00,0,"6,7",,,,
280,1949-08-06 00:00:00,10,5,,,,
281,1949-08-06 00:00:00,25,"4,2",,,,
282,1949-08-06 00:00:00,50,"4,1",,,,
283,1949-08-06 00:00:00,100,"3,95",,,,
284,1949-08-06 00:00:00,250,"3,85",,,,
285,1949-08-17 00:00:00,0,"9,6",,,,
286,1949-08-17 00:00:00,10,"6,8",,,,
287,1949-08-17 00:00:00,25,"5,7",,,,
288,1949-08-17 00:00:00,50,5,,,,
289,1949-08-17 00:00:00,100,"4,2",,,,
290,1949-08-17 00:00:00,250,"3,8",,,,
291,1949-09-01 00:00:00,0,6,,,,
292,1949-09-01 00:00:00,10,"5,5",,,,
293,1949-09-01 00:00:00,25,"4,4",,,,
294,1949-09-01 00:00:00,50,"4,2",,,,
295,1949-09-01 00:00:00,100,4,,,,
296,1949-09-01 00:00:00,250,"3,9",,,,
297,1949-09-11 00:00:00,0,"9,1",,,,
298,1949-09-11 00:00:00,10,"8,7",,,,
299,1949-09-11 00:00:00,25,"8,6",,,,
300,1949-09-11 00:00:00,50,"8,5",,,,
301,1949-09-11 00:00:00,100,"4,8",,,,
302,1949-09-11 00:00:00,250,"3,9",,,,
303,1949-09-20 00:00:00,0,"10,35",,,,
304,1949-09-20 00:00:00,10,"10,1",,,,
305,1949-09-20 00:00:00,25,"10,2",,,,
306,1949-09-20 00:00:00,50,"8,2",,,,
307,1949-09-20 00:00:00,100,"4,2",,,,
308,1949-09-20 00:00:00,250,"3,8",,,,
309,1949-10-02 00:00:00,0,"9,7",,,,
310,1949-10-02 00:00:00,10,9,,,,
311,1949-10-02 00:00:00,25,9,,,,
312,1949-10-02 00:00:00,50,"8,5",,,,
313,1949-10-02 00:00:00,100,"4,8",,,,
314,1949-10-02 00:00:00,250,"3,8",,,,
315,1949-11-19 00:00:00,0,"4,5",,,,
316,1949-11-19 00:00:00,10,"4,6",,,,
317,1949-11-19 00:00:00,25,"4,6",,,,
318,1949-11-19 00:00:00,50,"4,4",,,,
319,1949-11-19 00:00:00,100,"4,2",,,,
320,1949-11-19 00:00:00,250,"3,8",,,,
321,1949-12-09 00:00:00,0,3,,,,
322,1949-12-09 00:00:00,25,"3,2",,,,
323,1949-12-09 00:00:00,50,"3,3",,,,
324,1949-12-09 00:00:00,250,"3,7",,,,
325,1950-01-12 00:00:00,0,"0,4",,,,
326,1950-01-12 00:00:00,25,"0,9",,,,
327,1950-01-12 00:00:00,50,"1,2",,,,
328,1950-01-12 00:00:00,250,"3,5",,,,
329,1950-02-13 00:00:00,0,"0,2",,,,
330,1950-02-13 00:00:00,25,"0,7",,,,
331,1950-02-13 00:00:00,50,"1,5",,,,
332,1950-02-13 00:00:00,250,"3,7",,,,
333,1950-03-09 00:00:00,0,"0,2",,,,
334,1950-03-09 00:00:00,25,"0,8",,,,
335,1950-03-09 00:00:00,50,"1,4",,,,
336,1950-03-09 00:00:00,250,"3,7",,,,
337,1950-03-20 00:00:00,0,"0,2",,,,
338,1950-03-20 00:00:00,25,"0,8",,,,
339,1950-03-20 00:00:00,50,"1,8",,,,
340,1950-03-20 00:00:00,250,"3,5",,,,
341,1950-04-03 00:00:00,0,"0,1",,,,
342,1950-04-03 00:00:00,25,"0,9",,,,
343,1950-04-03 00:00:00,50,"1,6",,,,
344,1950-04-03 00:00:00,250,"3,5",,,,
345,1950-04-13 00:00:00,0,"0,35",,,,
346,1950-04-13 00:00:00,25,1,,,,
347,1950-04-13 00:00:00,50,"1,8",,,,
348,1950-04-13 00:00:00,250,"3,5",,,,
349,1950-04-20 00:00:00,0,"0,7",,,,
350,1950-04-20 00:00:00,25,"1,2",,,,
351,1950-04-20 00:00:00,50,"1,3",,,,
352,1950-04-20 00:00:00,250,"3,5",,,,
353,1950-05-02 00:00:00,0,1,,,,
354,1950-05-02 00:00:00,25,"1,3",,,,
